Province,AQI,PM2_5,PM10,SO2,NO2,CO,O3,Time
安徽,88.712502,65.970001,100.050003,21.480000,23.090000,1.660000,96.389999,2014-09-07

安徽,88.462494,65.769997,82.550003,24.540001,13.400000,1.570000,114.589996,2014-09-08

安徽,120.087502,91.070000,102.550003,30.900000,22.799999,2.060000,78.209999,2014-09-09

安徽,97.712494,73.169998,102.419998,34.900002,36.700001,1.860000,73.470001,2014-09-10

安徽,50.424999,19.900000,47.090000,34.200001,40.340000,1.290000,82.430000,2014-09-11

安徽,40.437500,23.209999,36.060001,23.420000,32.349998,1.260000,69.389999,2014-09-12

安徽,62.904999,42.709999,75.809998,39.529999,32.110001,1.500000,61.259998,2014-09-13

安徽,54.020000,30.740000,58.040001,31.350000,39.070000,1.350000,49.110001,2014-09-14

安徽,68.750000,50.000000,73.220001,28.120001,32.779999,1.770000,41.259998,2014-09-15

安徽,54.709999,33.860001,59.419998,30.459999,38.119999,1.550000,35.860001,2014-09-16

安徽,42.400002,28.200001,42.400002,20.510000,31.940001,1.230000,43.220001,2014-09-17

安徽,66.112503,47.889999,66.180000,24.219999,43.840000,1.900000,24.780001,2014-09-18

安徽,57.939999,40.419998,65.879997,31.559999,28.980000,1.450000,61.169998,2014-09-19

安徽,46.000000,25.990000,46.000000,12.660000,19.170000,1.340000,94.849998,2014-09-20

安徽,57.512497,41.009998,64.599998,23.530001,27.309999,1.450000,103.080002,2014-09-21

安徽,54.720001,31.950001,59.439999,26.070000,31.490000,1.300000,83.629997,2014-09-22

安徽,64.294998,45.500000,78.589996,29.440001,32.090000,1.500000,88.239998,2014-09-23

安徽,132.299988,100.839996,153.320007,41.580002,38.049999,1.790000,78.180000,2014-09-24

安徽,101.850006,76.480003,128.470001,34.299999,38.310001,1.910000,74.680000,2014-09-25

安徽,59.895000,41.080002,69.790001,18.250000,25.160000,1.290000,86.459999,2014-09-26

安徽,74.675003,54.740002,94.790001,19.100000,34.259998,1.150000,68.360001,2014-09-27

安徽,50.520000,29.620001,51.040001,15.080000,28.889999,0.890000,61.389999,2014-09-28

安徽,49.599998,29.750000,49.599998,20.469999,22.730000,0.920000,79.360001,2014-09-29

安徽,53.364998,27.190001,56.730000,23.670000,26.580000,0.630000,61.150002,2014-09-30

安徽,56.355000,30.360001,62.709999,21.490000,31.459999,0.700000,69.309998,2014-10-01

安徽,85.750000,63.599998,97.379997,19.010000,35.080002,0.950000,73.889999,2014-10-02

安徽,101.687500,76.349998,123.589996,30.389999,36.869999,1.300000,77.900002,2014-10-03

安徽,58.564999,31.530001,67.129997,22.049999,28.030001,0.690000,84.550003,2014-10-04

安徽,94.462502,70.570000,119.690002,36.560001,36.439999,1.030000,95.370003,2014-10-05

安徽,63.160000,43.799999,76.320000,33.180000,37.020000,0.960000,68.339996,2014-10-06

安徽,74.395004,50.130001,98.790001,25.350000,39.730000,0.990000,97.349998,2014-10-07

安徽,75.320000,52.189999,100.639999,26.309999,37.430000,0.930000,109.410004,2014-10-08

安徽,71.375000,51.250000,92.750000,23.559999,38.310001,0.890000,82.379997,2014-10-09

安徽,67.699997,47.650002,85.400002,22.690001,36.130001,0.870000,69.589996,2014-10-10

安徽,80.599998,59.480000,98.639999,25.900000,40.360001,1.000000,78.430000,2014-10-11

安徽,121.949997,92.559998,157.139999,37.730000,45.369999,1.510000,45.189999,2014-10-12

安徽,53.674999,27.000000,57.349998,29.260000,36.259998,0.870000,41.009998,2014-10-13

安徽,90.587502,67.470001,117.690002,36.020000,41.040001,0.990000,52.860001,2014-10-14

安徽,129.862503,98.889999,196.880005,22.940001,50.080002,1.390000,82.300003,2014-10-15

安徽,91.504997,58.349998,133.009995,33.689999,50.610001,1.130000,37.340000,2014-10-16

